Benchmark,Size
"string/25239569.sl","20"
"string/phone-6-long-repeat.sl","26"
"string/phone-9-short.sl","309"
"string/get-last-word.sl","51"
"string/phone-7-long-repeat.sl","339"
"string/exceljet4.sl","522"
"string/phone-6-long.sl","26"
"string/exceljet3.sl","222"
"string/stackoverflow2.sl","31"
"string/phone-7.sl","113"
"string/exceljet1.sl","106"
"string/stackoverflow3.sl","122"
"string/univ_6_short.sl","67"
"string/exceljet2.sl","48"
"string/36462127.sl","44"
"string/initials.sl","16"
"string/phone-10-long.sl","135"
"string/phone-10_short.sl","193"
"string/35744094.sl","11"
"string/extract-word-that-begins-with-specific-character.sl","60"
"string/31753108.sl","158"
"string/extract-nth-word-from-text-string.sl","83"
"string/stackoverflow7.sl","22"
"string/find-nth-occurrence-of-character.sl","36"
"string/44789427.sl","73"
"string/count-total-words-in-a-cell.sl","35"
"string/initials_small.sl","16"
"string/get-middle-name-from-full-name.sl","103"
"string/univ_6.sl","45"
"string/stackoverflow11.sl","216"
"string/get-last-name-from-name-with-comma.sl","20"
"string/38871714.sl","380"
"string/clean-and-reformat-telephone-numbers.sl","79"
"string/phone-5-short.sl","25"
"string/11604909.sl","19"
"string/initials-long.sl","16"
"string/phone-5-long.sl","25"
"string/phone-9-long-repeat.sl","7171"
"string/univ_4.sl","67"
"string/stackoverflow8.sl","76"
"string/phone-9-long.sl","7171"
"string/stackoverflow10.sl","771"
"string/strip-non-numeric-characters.sl","40"
"string/stackoverflow6.sl","127"
"string/phone-10.sl","193"
"string/univ_6-long.sl","138"
"string/stackoverflow5.sl","80"
"string/strip-html-from-text-or-numbers.sl","106"
"string/phone-9.sl","309"
"string/get-domain-name-from-url.sl","35"
"string/univ_4-long-repeat.sl","305"
"string/phone-5.sl","25"
"string/initials-long-repeat.sl","16"
"string/phone-6.sl","26"
"string/43606446.sl","32"
"string/strip-numeric-characters-from-cell.sl","33"
"string/stackoverflow9.sl","117"
"string/39060015.sl","111"
"string/get-first-name-from-name-with-comma.sl","66"
"string/univ_4-long.sl","185"
"string/univ_5_short.sl","131"
"string/phone-5-long-repeat.sl","25"
"string/univ_4_short.sl","67"
"string/phone-7-long.sl","339"
"string/43120683.sl","71"
"string/17212077.sl","54"
"string/phone-6-short.sl","26"
"string/univ_5.sl","131"
"string/extract-word-containing-specific-text.sl","85"
"string/stackoverflow1.sl","44"
"string/stackoverflow4.sl","162"
"string/phone-10-long-repeat.sl","135"
"string/extract-text-between-parentheses.sl","12"
"string/33619752.sl","136"
