Benchmark,Size
"string/phone-6-long-repeat.sl","9"
"string/phone-7-long-repeat.sl","9"
"string/exceljet4.sl","14"
"string/phone-6-long.sl","9"
"string/exceljet3.sl","15"
"string/phone-7.sl","9"
"string/exceljet1.sl","10"
"string/stackoverflow3.sl","15"
"string/stackoverflow11.sl","14"
"string/phone-5-short.sl","11"
"string/phone-7-short.sl","9"
"string/phone-5-long.sl","11"
"string/stackoverflow8.sl","15"
"string/stackoverflow6.sl","20"
"string/stackoverflow5.sl","9"
"string/phone-5.sl","11"
"string/phone-6.sl","9"
"string/stackoverflow9.sl","15"
"string/phone-5-long-repeat.sl","11"
"string/phone-7-long.sl","9"
"string/phone-6-short.sl","9"
"string/stackoverflow1.sl","10"
"string/stackoverflow4.sl","13"
