Benchmark,Time,Program
11604909.sl,600.2,None
17212077.sl,600.2,None
25239569.sl,600.2,None
31753108.sl,600.1,None
33619752.sl,600.1,None
35744094.sl,600.1,None
36462127.sl,600.2,None
38871714.sl,600.2,None
39060015.sl,600.2,None
43120683.sl,600.2,None
43606446.sl,600.2,None
44789427.sl,600.2,None
clean-and-reformat-telephone-numbers.sl,600.2,None
count-total-words-in-a-cell.sl,600.1,None
exceljet1.sl,0.2,"(str.substr _arg_1 (+ (str.indexof _arg_1 ""_"" 0) 1) (str.len _arg_1))"
exceljet2.sl,600.2,None
exceljet3.sl,6.5,"(str.substr _arg_0 (+ (str.indexof _arg_0 "" "" (+ (str.indexof _arg_0 ""="" 0) 1)) 1) (str.len _arg_0))"
exceljet4.sl,14.5,"(str.substr (str.substr _arg_0 (+ (str.indexof _arg_0 ""/"" 0) 1) (str.len _arg_0)) 1 (str.len _arg_0))"
extract-nth-word-from-text-string.sl,600.2,None
extract-text-between-parentheses.sl,600.2,None
extract-word-containing-specific-text.sl,600.2,None
extract-word-that-begins-with-specific-character.sl,600.2,None
find-nth-occurrence-of-character.sl,600.1,None
get-domain-name-from-url.sl,600.3,None
get-first-name-from-name-with-comma.sl,600.2,None
get-last-line-in-cell.sl,600.2,None
get-last-name-from-name-with-comma.sl,600.2,None
get-last-word.sl,600.2,None
get-middle-name-from-full-name.sl,600.2,None
initials-long-repeat.sl,600.3,None
initials-long.sl,600.3,None
initials.sl,600.3,None
initials_small.sl,600.3,None
phone-10-long-repeat.sl,600.2,None
phone-10-long.sl,600.2,None
phone-10.sl,600.2,None
phone-10_short.sl,600.2,None
phone-5-long-repeat.sl,0.7,"(str.substr (str.substr name 0 (str.indexof name "" "" 0)) 1 (str.len name))"
phone-5-long.sl,0.4,"(str.substr (str.substr name 0 (str.indexof name "" "" 0)) 1 (str.len name))"
phone-5-short.sl,0.3,"(str.substr (str.substr name 0 (str.indexof name "" "" 0)) 1 (str.len name))"
phone-5.sl,0.3,"(str.substr (str.substr name 0 (str.indexof name "" "" 0)) 1 (str.len name))"
phone-6-long-repeat.sl,0.9,"(str.substr name (+ (str.indexof name "" "" 0) 1) 3)"
phone-6-long.sl,0.7,"(str.substr name (+ (str.indexof name "" "" 0) 1) 3)"
phone-6-short.sl,0.5,"(str.substr name (+ (str.indexof name "" "" 0) 1) 3)"
phone-6.sl,0.5,"(str.substr name (+ (str.indexof name "" "" 0) 1) 3)"
phone-7-long-repeat.sl,1,"(str.substr name (+ (str.indexof name ""-"" 0) 1) 3)"
phone-7-long.sl,0.7,"(str.substr name (+ (str.indexof name ""-"" 0) 1) 3)"
phone-7-short.sl,0.5,"(str.substr name (+ (str.indexof name ""-"" 0) 1) 3)"
phone-7.sl,0.5,"(str.substr name (+ (str.indexof name ""-"" 0) 1) 3)"
phone-9-long-repeat.sl,600.2,None
phone-9-long.sl,600.2,None
phone-9-short.sl,600.2,None
phone-9.sl,600.2,None
remove-leading-and-trailing-spaces-from-text.sl,600.2,None
remove-text-by-position.sl,600.2,None
split-text-string-at-specific-character.sl,600.2,None
stackoverflow1.sl,0.3,"(str.substr _arg_0 0 (str.indexof _arg_0 "" "" (str.len (str.++ "","" ""LLC""))))"
stackoverflow10.sl,600.2,None
stackoverflow11.sl,214.7,"(str.substr (str.substr _arg_0 (+ (str.indexof _arg_0 ""_"" 0) 1) (str.len _arg_0)) 1 (str.len _arg_0))"
stackoverflow2.sl,600.2,None
stackoverflow3.sl,13.7,"(str.substr _arg_0 (+ (str.indexof _arg_0 "" "" 0) (str.indexof _arg_0 ""9"" 0)) (- (str.len _arg_0) 3))"
stackoverflow4.sl,8.7,"(str.replace (str.replace (str.replace (str.replace _arg_0 "","" "" "") "","" "" "") "">"" """") ""<"" "" "")"
stackoverflow5.sl,0.8,"(str.substr _arg_0 0 (+ (str.indexof _arg_0 ""1"" 0) -1))"
stackoverflow6.sl,78.6,"(str.substr _arg_0 (+ (str.indexof _arg_0 "" "" 0) (+ (str.indexof _arg_0 ""-"" 0) (+ (str.indexof _arg_0 ""="" 0) 1))) (str.len _arg_0))"
stackoverflow7.sl,600.3,None
stackoverflow8.sl,6.5,"(str.substr _arg_0 (+ (str.indexof _arg_0 ""/"" (+ (str.indexof _arg_0 ""/"" 0) 1)) 1) (str.len _arg_0))"
stackoverflow9.sl,4.2,"(str.substr _arg_0 (+ (str.indexof _arg_0 "" "" (+ (str.indexof _arg_0 "" "" 0) 1)) 1) (str.len _arg_0))"
strip-html-from-text-or-numbers.sl,600.1,None
strip-non-numeric-characters.sl,600.1,None
strip-numeric-characters-from-cell.sl,600.2,None
univ_4-long-repeat.sl,600.2,None
univ_4-long.sl,600.3,None
univ_4.sl,600.2,None
univ_4_short.sl,600.2,None
univ_5-long-repeat.sl,600.3,None
univ_5-long.sl,600.2,None
univ_5.sl,600.3,None
univ_5_short.sl,600.3,None
univ_6-long-repeat.sl,600.3,None
univ_6-long.sl,600.2,None
univ_6.sl,600.3,None
univ_6_short.sl,600.2,None
